source_product_id,sku,name,category,price_aed,stock,description,image_url,supplier,active,b2b_available,match_confidence,matched_intermex_title,matched_intermex_url,review_notes
,CMX-ASSORTED-CANDY-BAG,Assorted Mexican Candy Bag,,25.00,50,Pocket price. Premium Flavours. Indulge with the genuine taste of Mexican tradition. Grab. Unwrap. Enjoy!,https://cdn.shopify.com/s/files/1/0642/6725/5904/files/WhatsAppImage2026-07-01at17.07.44.jpg?v=1782911308,Intermex UAE,false,false,exact,Assorted Mexican Candy Bag,https://intermexuae.com/products/assorted-mexican-candy-bag,Direct Intermex catalog row not present in original CornerMex CSV. Founder review required before import/activation.
,CMX-MAYONESA-MACROMICK-LIME-390GM,Mayonesa Macromick (Lime) 390gm,,28.50,50,"McCormick Mayonesa (Mayonnaise) with Lime Juice is Mexico's top-selling mayonnaise brand , widely loved for its ultra-creamy texture and unique, tangy citrus twist.",https://cdn.shopify.com/s/files/1/0642/6725/5904/files/Screenshot2026-06-26114440.png?v=1782460393,Intermex UAE,false,false,exact,Mayonesa Macromick (Lime) 390gm,https://intermexuae.com/products/mayonesa-macromick-lime-390gm,Direct Intermex catalog row not present in original CornerMex CSV. Founder review required before import/activation.
,CMX-VIVA-T-SHIRT,Viva México T-shirt!,,120.00,50,"Show your support for Mexico with our limited-edition Viva México, Cabrones! tee. Available in white, red, and green, inspired by the colours of the Mexican flag. Perfect for match days, watch parties, and celebrating Mexico throughout the 2026 World Cup. 🇲🇽",https://cdn.shopify.com/s/files/1/0642/6725/5904/files/Artboard3.png?v=1781628274,Intermex UAE,false,false,exact,Viva México T-shirt!,https://intermexuae.com/products/viva-mexico-t-shirt,Direct Intermex catalog row not present in original CornerMex CSV. Founder review required before import/activation.
8cc4e82c-e0e9-4206-b762-a5a41e7f4120,CMX-JAPANESE-STYLE-PEANUTS-WITH-VALENTINA-SAUCE-30G,Japanese Style Peanuts With Valentina Sauce 30g,snacks,2.50,50,"Discover the perfect fusion of flavors with these Japanese-style peanuts coated in a thick, super crunchy shell of toasted wheat flour infused with savory soy sauce. Each whole peanut is encased in a satisfying crunch that delivers an authentic taste experience. The bold, umami-rich coating complements the natural nuttiness of premium peanuts, creating an irresistible snack that's perfect for any occasion. Now with Valentina sauce! Available from Corner Mex for delivery in Dubai, Abu Dhabi and across the UAE.",https://cdn.shopify.com/s/files/1/0642/6725/5904/files/e04a77a3-de3b-4e36-9f3a-36fc20b866b0.jpg?v=1778481472,Intermex UAE,false,false,exact,Japanese Style Peanuts With Valentina Sauce 30g,https://intermexuae.com/products/japanese-style-peanuts-with-valentina-sauce-600g,Direct Intermex catalog row matched to CornerMex seed candidate. Founder review required before activation.
,CMX-JAPANESE-STYLE-PEANUTS-30G,Japanese Style Peanuts 30g,,2.50,50,"Discover the perfect fusion of flavors with these Japanese-style peanuts coated in a thick, super crunchy shell of toasted wheat flour infused with savory soy sauce. Each whole peanut is encased in a satisfying crunch that delivers an authentic taste experience. The bold, umami-rich coating complements the natural nuttiness of premium peanuts, creating an irresistible snack that's perfect for any occasion.",https://cdn.shopify.com/s/files/1/0642/6725/5904/files/ee711077-41bd-4db0-883d-462d18aced54.jpg?v=1778481807,Intermex UAE,false,false,exact,Japanese Style Peanuts 30g,https://intermexuae.com/products/japanese-style-peanuts-600g,Direct Intermex catalog row not present in original CornerMex CSV. Founder review required before import/activation.
bc3e0f77-12b6-4d91-a163-f823477db8c0,CMX-BANDERILLA-TAMAROCA-TAMARIND-STICK-1PCS,"Banderilla, Tamaroca Tamarind Mexican Stick 1pcs",snacks,3.50,50,"Flavor Profile: A complex ""big four"" combination of sweet, sour, salty, and spicy. Usage: They are eaten as a standalone treat or used as a cocktail stirrer for drinks like micheladas , where the chili coating dissolves into the beverage. Original Mexican Candy!! Available from Corner Mex for delivery in Dubai, Abu Dhabi and across the UAE.",https://cdn.shopify.com/s/files/1/0642/6725/5904/files/banderilla-tamaroca-30pz2.webp?v=1778479959,Intermex UAE,false,false,exact,"Banderilla, Tamaroca Tamarind Mexican Stick 1pcs",https://intermexuae.com/products/banderilla-tamaroca-tamarind-mexican-stick-30pcs,Direct Intermex catalog row matched to CornerMex seed candidate. Founder review required before activation.
1dcbf688-4a12-4021-84c2-02f57a0826d9,CMX-PEPE-CRUNCH-PEANUTS-HABANERO-FLAVOUR-500G,Pepe Crunch Peanuts Habanero Flavour 500g,salsas,33.50,50,"Toasted peanuts coated with a thick crunchy layer of roasted wheat flour Habanero flavoured for a savoury, bold taste Authentic Mexican snack tradition 500g pack of satisfying crunch Perfect for snacking anytime, anywhere. Available from Corner Mex for delivery in Dubai, Abu Dhabi and across the UAE.",https://cdn.shopify.com/s/files/1/0642/6725/5904/files/WhatsAppImage2026-05-11at12.11.46.jpg?v=1778487149,Intermex UAE,false,false,exact,Pepe Crunch Peanuts Habanero Flavour 500g,https://intermexuae.com/products/pepe-crunch-peanuts-habanero-flavour-500g,Direct Intermex catalog row matched to CornerMex seed candidate. Founder review required before activation.
,CMX-PEPE-CRUNCH-PEANUTS-MANGO-FLAVOUR-500G,Pepe Crunch Peanuts Mango Flavour 500g,,35.00,50,"Toasted peanuts coated with a thick crunchy layer of roasted wheat flour Mango flavoured for a savoury, bold taste Authentic Mexican snack tradition 500g pack of satisfying crunch Perfect for snacking anytime, anywhere",https://cdn.shopify.com/s/files/1/0642/6725/5904/files/Screenshot2026-05-09144403.png?v=1778324304,Intermex UAE,false,false,exact,Pepe Crunch Peanuts Mango Flavour 500g,https://intermexuae.com/products/pepe-crucnh-peanuts-mango-flavour-500g,Direct Intermex catalog row not present in original CornerMex CSV. Founder review required before import/activation.
189a0de0-bb7c-45f6-9f54-eaee757a83e1,CMX-PEPE-CRUNCH-PEANUTS-CHIPOTLE-FLAVOUR-500G,Pepe Crunch Peanuts Chipotle Flavour 500g,snacks,35.00,50,"Toasted peanuts coated with a thick crunchy layer of roasted wheat flour Chipotle flavoured for a savoury, bold taste Authentic Mexican snack tradition 500g pack of satisfying crunch Perfect for snacking anytime, anywhere. Available from Corner Mex for delivery in Dubai, Abu Dhabi and across the UAE.",https://cdn.shopify.com/s/files/1/0642/6725/5904/files/Screenshot2026-05-09142641.png?v=1778323510,Intermex UAE,false,false,exact,Pepe Crunch Peanuts Chipotle Flavour 500g,https://intermexuae.com/products/pepe-crucnh-peanuts-chipotle-flavour-500g,Direct Intermex catalog row matched to CornerMex seed candidate. Founder review required before activation.
,CMX-PEPE-CRUNCH-PEANUTS-CHEESE-FLAVOUR-500G,Pepe Crunch Peanuts Cheese Flavour 500g,,35.00,50,"Toasted peanuts coated with a thick crunchy layer of roasted wheat flour Cheese flavoured for a savoury, bold taste Authentic Mexican snack tradition 500g pack of satisfying crunch Perfect for snacking anytime, anywhere",https://cdn.shopify.com/s/files/1/0642/6725/5904/files/Screenshot2026-05-09142543.png?v=1778322509,Intermex UAE,false,false,exact,Pepe Crunch Peanuts Cheese Flavour 500g,https://intermexuae.com/products/pepe-crucnh-peanuts-cheese-flavour-500g,Direct Intermex catalog row not present in original CornerMex CSV. Founder review required before import/activation.
